Overall
  Valid: 638596, Invalid Length: 4103, Invalid ASN: 2514, Not Found: 585915, VRPS seen: 319456, VRPS unseen: 223370, VRPS too permissive: 49190
CL: Valid: 3577, Invalid Length: 19, Invalid ASN: 24, Not Found: 1643, VRPS seen: 668, VRPS unseen: 186, VRPS too permissive: 276
CM: Valid: 268, Invalid Length: 1, Invalid ASN: 0, Not Found: 183, VRPS seen: 254, VRPS unseen: 82, VRPS too permissive: 9
CN: Valid: 1427, Invalid Length: 50, Invalid ASN: 51, Not Found: 50606, VRPS seen: 792, VRPS unseen: 1133, VRPS too permissive: 285
CO: Valid: 9463, Invalid Length: 11, Invalid ASN: 24, Not Found: 258, VRPS seen: 1194, VRPS unseen: 452, VRPS too permissive: 392
CR: Valid: 3638, Invalid Length: 0, Invalid ASN: 0, Not Found: 97, VRPS seen: 218, VRPS unseen: 98, VRPS too permissive: 112
CU: Valid: 62, Invalid Length: 0, Invalid ASN: 0, Not Found: 2, VRPS seen: 15, VRPS unseen: 10, VRPS too permissive: 2
CV: Valid: 36, Invalid Length: 0, Invalid ASN: 0, Not Found: 7, VRPS seen: 11, VRPS unseen: 0, VRPS too permissive: 3
CW: Valid: 215, Invalid Length: 0, Invalid ASN: 2, Not Found: 32, VRPS seen: 37, VRPS unseen: 12, VRPS too permissive: 35
CY: Valid: 1052, Invalid Length: 1, Invalid ASN: 0, Not Found: 561, VRPS seen: 700, VRPS unseen: 197, VRPS too permissive: 133
CZ: Valid: 3154, Invalid Length: 1, Invalid ASN: 0, Not Found: 1172, VRPS seen: 2213, VRPS unseen: 437, VRPS too permissive: 447
DE: Valid: 12832, Invalid Length: 13, Invalid ASN: 17, Not Found: 5452, VRPS seen: 7520, VRPS unseen: 5631, VRPS too permissive: 2670
DJ: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 94, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
DK: Valid: 813, Invalid Length: 4, Invalid ASN: 5, Not Found: 741, VRPS seen: 711, VRPS unseen: 186, VRPS too permissive: 40
DM: Valid: 3, Invalid Length: 0, Invalid ASN: 0, Not Found: 26, VRPS seen: 3, VRPS unseen: 1, VRPS too permissive: 0
DO: Valid: 772, Invalid Length: 1, Invalid ASN: 1, Not Found: 129, VRPS seen: 70, VRPS unseen: 23, VRPS too permissive: 53
DZ: Valid: 65, Invalid Length: 0, Invalid ASN: 0, Not Found: 615, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 6
EC: Valid: 3686, Invalid Length: 0, Invalid ASN: 5, Not Found: 12, VRPS seen: 718, VRPS unseen: 644, VRPS too permissive: 192
EE: Valid: 657, Invalid Length: 0, Invalid ASN: 0, Not Found: 145, VRPS seen: 469, VRPS unseen: 88, VRPS too permissive: 47
EG: Valid: 665, Invalid Length: 0, Invalid ASN: 0, Not Found: 8141, VRPS seen: 25, VRPS unseen: 1, VRPS too permissive: 8
ER: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 4, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
ES: Valid: 13319, Invalid Length: 24, Invalid ASN: 22, Not Found: 2527, VRPS seen: 4833, VRPS unseen: 2245, VRPS too permissive: 820
ET: Valid: 441, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 13, VRPS unseen: 10, VRPS too permissive: 5
EU: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 9, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
FI: Valid: 858, Invalid Length: 0, Invalid ASN: 0, Not Found: 613, VRPS seen: 761, VRPS unseen: 158, VRPS too permissive: 60
FJ: Valid: 148, Invalid Length: 3, Invalid ASN: 0, Not Found: 3, VRPS seen: 29, VRPS unseen: 8, VRPS too permissive: 8
FK: Valid: 10, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 8, VRPS unseen: 13, VRPS too permissive: 2
FM: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 19, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
FO: Valid: 12, Invalid Length: 0, Invalid ASN: 0, Not Found: 2, VRPS seen: 12, VRPS unseen: 1, VRPS too permissive: 0
FR: Valid: 7643, Invalid Length: 5, Invalid ASN: 5, Not Found: 2492, VRPS seen: 4021, VRPS unseen: 1878, VRPS too permissive: 1227
GA: Valid: 2, Invalid Length: 0, Invalid ASN: 0, Not Found: 102, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 2
GB: Valid: 9545, Invalid Length: 5, Invalid ASN: 15, Not Found: 7313, VRPS seen: 7328, VRPS unseen: 4203, VRPS too permissive: 1079
GD: Valid: 17, Invalid Length: 0, Invalid ASN: 0, Not Found: 8, VRPS seen: 4, VRPS unseen: 2, VRPS too permissive: 4
GE: Valid: 427, Invalid Length: 4, Invalid ASN: 2, Not Found: 231, VRPS seen: 289, VRPS unseen: 85, VRPS too permissive: 73
GF: Valid: 17, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 3, VRPS unseen: 5, VRPS too permissive: 3
GG: Valid: 5, Invalid Length: 0, Invalid ASN: 0, Not Found: 35, VRPS seen: 5, VRPS unseen: 0, VRPS too permissive: 0
GH: Valid: 297, Invalid Length: 9, Invalid ASN: 2, Not Found: 344, VRPS seen: 38, VRPS unseen: 9, VRPS too permissive: 27
GI: Valid: 429, Invalid Length: 0, Invalid ASN: 0, Not Found: 34, VRPS seen: 238, VRPS unseen: 107, VRPS too permissive: 34
GL: Valid: 21, Invalid Length: 0, Invalid ASN: 0, Not Found: 5, VRPS seen: 21, VRPS unseen: 2, VRPS too permissive: 0
GM: Valid: 18, Invalid Length: 0, Invalid ASN: 0, Not Found: 64, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 6
GN: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 72, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
GP: Valid: 19, Invalid Length: 0, Invalid ASN: 0, Not Found: 8, VRPS seen: 8, VRPS unseen: 27, VRPS too permissive: 7
GQ: Valid: 9, Invalid Length: 0, Invalid ASN: 0, Not Found: 16, VRPS seen: 11, VRPS unseen: 0, VRPS too permissive: 0
GR: Valid: 1470, Invalid Length: 0, Invalid ASN: 0, Not Found: 227, VRPS seen: 841, VRPS unseen: 319, VRPS too permissive: 86
GT: Valid: 775, Invalid Length: 0, Invalid ASN: 2, Not Found: 75, VRPS seen: 254, VRPS unseen: 102, VRPS too permissive: 50
GU: Valid: 59, Invalid Length: 0, Invalid ASN: 0, Not Found: 27, VRPS seen: 57, VRPS unseen: 4, VRPS too permissive: 0
GW: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 9, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 0
GY: Valid: 77, Invalid Length: 0, Invalid ASN: 0, Not Found: 2, VRPS seen: 10, VRPS unseen: 18, VRPS too permissive: 8
HK: Valid: 7280, Invalid Length: 17, Invalid ASN: 11, Not Found: 4697, VRPS seen: 4067, VRPS unseen: 2360, VRPS too permissive: 602
HN: Valid: 743, Invalid Length: 18, Invalid ASN: 0, Not Found: 78, VRPS seen: 205, VRPS unseen: 22, VRPS too permissive: 33
HR: Valid: 662, Invalid Length: 0, Invalid ASN: 0, Not Found: 225, VRPS seen: 218, VRPS unseen: 37, VRPS too permissive: 28
HT: Valid: 1, Invalid Length: 0, Invalid ASN: 0, Not Found: 119, VRPS seen: 0, VRPS unseen: 2, VRPS too permissive: 1
HU: Valid: 1344, Invalid Length: 0, Invalid ASN: 0, Not Found: 310, VRPS seen: 1050, VRPS unseen: 330, VRPS too permissive: 254
ID: Valid: 15771, Invalid Length: 329, Invalid ASN: 95, Not Found: 3156, VRPS seen: 6893, VRPS unseen: 2429, VRPS too permissive: 657
IE: Valid: 1305, Invalid Length: 0, Invalid ASN: 0, Not Found: 377, VRPS seen: 813, VRPS unseen: 390, VRPS too permissive: 146
IL: Valid: 4411, Invalid Length: 6, Invalid ASN: 2, Not Found: 851, VRPS seen: 3441, VRPS unseen: 3388, VRPS too permissive: 226
IM: Valid: 99, Invalid Length: 0, Invalid ASN: 0, Not Found: 81, VRPS seen: 23, VRPS unseen: 20, VRPS too permissive: 10
IN: Valid: 35706, Invalid Length: 464, Invalid ASN: 132, Not Found: 11384, VRPS seen: 16590, VRPS unseen: 5984, VRPS too permissive: 1850
IO: Valid: 12, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 12, VRPS unseen: 0, VRPS too permissive: 0
IQ: Valid: 1244, Invalid Length: 0, Invalid ASN: 4, Not Found: 39, VRPS seen: 1208, VRPS unseen: 913, VRPS too permissive: 14
IR: Valid: 8592, Invalid Length: 0, Invalid ASN: 3, Not Found: 296, VRPS seen: 6303, VRPS unseen: 3496, VRPS too permissive: 531
IS: Valid: 143, Invalid Length: 0, Invalid ASN: 0, Not Found: 140, VRPS seen: 120, VRPS unseen: 61, VRPS too permissive: 15
